AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	7	7.1.2	C070102	7.1.2 Proportion of population with primary reliance on clean fuels and technology	"Tier I
"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	7	7.2.1	C070201	7.2.1 Renewable energy share in the total final energy consumption	"Tier I
"	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	7	7.3.1	C070301	7.3.1 Energy intensity measured in terms of primary energy and GDP	"Tier I
"	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	0	16	16	11	16	16	16	16	0	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	16	0	16	16	0	16	16	16	16	16	16	16	16	16	16	0	16	16	16	4	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	"12.2.2, 8.4.2"	C200203	"8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"	"Tier I
"	765	888	912	0	693	582	861	816	894	909	642	723	864	843	792	918	723	810	918	864	840	690	612	777	894	861	801	918	837	840	972	690	702	864	582	873	918	879	702	783	723	831	918	786	861	918	762	915	636	810	804	807	657	837	699	912	678	873	915	528	789	831	687	915	834	609	915	504	843	771	645	540	765	909	786	915	915	915	792	915	966	915	864	807	915	873	870	861	861	918	819	870	747	888	633	846	618	810	0	867	915	699	807	915	672	672	807	729	861	864	0	843	915	570	915	879	858	852	0	789	915	630	915	753	855	915	915	603	324	396	915	792	801	753	837	852	915	915	516	609	801	909	915	828	0	0	0	0	699	858	900	588	594	639	894	915	918	915	486	912	792	918	123	267	807	693	918	894	894	810	918	771	669	717	897	891	918	702	432	702	918	891	915	918	900	918	690	864	810	858	687	867	858
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.1.1	C080101	8.1.1 Annual growth rate of real GDP per capita	"Tier I
"	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	8	8	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.10.1	C081001	"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"	"Tier I
"	26	26	26	0	25	21	23	26	26	26	23	0	26	26	22	22	26	21	23	26	25	26	26	26	26	18	26	26	21	22	24	26	20	21	26	26	16	20	26	24	19	26	25	0	26	26	20	26	26	26	26	21	25	18	0	26	26	24	26	26	18	26	13	22	22	6	25	26	22	26	26	14	26	26	26	25	26	25	19	26	26	26	20	26	26	26	23	26	0	25	26	26	17	26	25	26	16	18	0	26	26	26	24	26	26	20	26	16	26	26	0	22	26	25	26	26	20	24	0	19	26	26	24	26	20	25	26	26	23	10	26	20	26	21	26	26	26	26	20	22	26	22	26	26	26	26	21	17	15	26	20	25	26	14	26	26	22	26	0	26	24	26	14	24	26	26	26	26	19	19	26	17	24	22	26	26	25	0	0	26	26	25	24	22	19	19	20	22	26	22	26	24	26
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.10.2	C081002	8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	"Tier I
"	9	9	9	0	6	0	9	9	9	9	0	9	9	9	0	9	3	9	9	9	9	3	0	0	9	6	6	9	9	9	9	0	6	9	9	9	9	9	3	9	9	9	9	0	9	9	9	9	0	9	9	9	0	6	0	9	0	9	9	3	9	9	0	9	9	0	9	0	9	9	0	9	9	9	0	9	9	9	9	9	9	9	6	6	9	9	9	9	0	9	9	9	6	9	6	9	6	3	0	9	9	9	9	9	0	9	9	9	9	9	0	9	9	9	3	3	3	6	0	9	9	0	9	9	9	9	6	0	0	0	9	9	0	6	9	9	9	9	0	0	3	9	9	9	0	0	0	0	0	9	9	9	0	9	9	9	9	9	3	9	9	9	3	6	0	3	9	6	3	9	9	9	0	6	9	6	9	6	0	9	9	9	9	9	9	9	9	9	9	9	0	6	9
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.2.1	C080201	8.2.1 Annual growth rate of real GDP per employed person	"Tier I
"	18	18	18	0	18	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	0	18	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	0	18	18	18	18	18	18	18	18	18	18	18	0	18	18	18	18	18	18	18	0	18	18	18	18	18	18	18	18	0	0	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	0	18	18	0	18	18	18	18	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	0	18	18	18	18	18	18	18	18	18	18	18	18	18	18
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.3.1	C080301	"8.3.1 Proportion of informal employment in non-agriculture employment, by sex"	"Tier II
"	0	9	0	0	6	0	0	30	0	0	0	0	6	6	0	0	0	30	0	0	0	0	0	3	0	3	0	0	3	3	0	0	0	0	0	21	0	21	0	0	0	18	0	0	0	0	3	0	0	33	21	21	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	27	0	3	0	15	0	0	6	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	0	3	0	12	0	3	0	0	0	0	3	0	0	0	0	0	18	0	0	24	39	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	21	0	3	0	0	21	0	0	3	3	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.5.1	C080501	"8.5.1 Average hourly earnings of female and male employees, by occupation, age and persons with disabilities"	"Tier II
"	0	0	0	0	0	0	0	45	0	105	0	0	0	0	0	102	0	36	0	0	39	35	0	30	30	0	0	0	0	0	0	0	0	0	0	26	0	63	0	0	0	60	0	0	44	165	0	30	0	78	72	42	0	0	0	28	0	190	109	0	0	0	0	109	0	0	77	0	21	0	0	2	39	26	27	0	0	0	0	93	65	113	0	4	0	0	0	0	0	216	0	0	0	0	0	26	0	0	0	23	101	0	0	150	0	0	61	0	0	18	0	0	0	27	0	0	0	0	0	0	109	0	0	12	0	0	30	0	0	0	30	24	0	106	45	0	28	372	0	0	0	26	30	0	0	0	0	0	0	0	0	28	0	0	0	85	66	60	0	0	0	200	0	0	0	0	26	27	0	0	0	0	0	0	0	0	28	0	0	0	0	26	0	54	0	48	0	45	0	21	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.5.2	C080502	"8.5.2 Unemployment rate, by sex, age and persons with disabilities"	"Tier I
"	3	51	76	0	18	9	99	103	153	153	88	18	66	70	105	153	77	90	68	48	102	62	3	9	153	9	9	8	20	27	153	1	0	141	0	153	0	138	9	15	1	153	141	54	153	153	27	153	9	0	135	105	0	18	0	153	27	153	153	3	12	147	9	153	9	18	153	3	88	9	9	9	86	153	153	36	99	84	16	153	153	153	21	54	153	91	51	3	0	153	23	97	12	21	12	153	9	9	10	153	153	25	9	87	27	41	153	3	123	135	9	90	141	51	118	9	0	21	3	18	153	0	153	40	18	24	153	0	1	12	111	87	3	99	153	108	153	153	0	18	99	153	144	0	9	69	0	48	24	126	9	105	24	18	139	153	74	153	0	81	30	153	9	4	66	3	153	153	57	3	111	9	4	90	27	70	153	3	3	24	89	129	129	153	42	153	9	129	0	96	18	27	13
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.6.1	C080601	"8.6.1 Proportion of youth (aged 15–24 years) not in education, employment or training"	"Tier I
"	0	14	21	0	6	0	0	30	24	39	0	0	15	15	0	39	0	30	9	3	21	12	0	3	42	3	3	3	6	6	51	0	0	9	0	15	0	30	3	3	0	21	36	0	42	42	6	42	0	33	24	21	0	6	0	42	12	42	42	0	0	0	3	42	3	0	42	0	27	3	0	0	18	39	42	12	51	6	0	42	24	39	9	0	21	16	0	0	0	0	0	18	3	3	0	42	3	0	0	39	42	3	0	3	3	10	39	0	0	36	0	30	18	3	0	3	0	12	0	3	42	0	33	3	3	3	42	0	0	3	15	18	3	21	39	33	39	39	0	6	0	42	21	3	0	0	0	0	0	18	3	24	0	3	21	42	6	42	0	13	3	42	0	0	0	0	42	42	0	3	24	3	0	3	0	0	33	0	0	12	6	33	21	39	12	12	0	24	0	8	3	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.7.1	C080701	"8.7.1 Proportion and number of children aged 5–17 years engaged in child labour, by sex and age"	"Tier II
"	6	6	6	0	6	0	0	0	0	0	0	0	3	6	6	0	6	3	0	0	6	6	6	0	0	0	6	6	6	6	0	0	6	0	6	6	0	6	6	6	6	6	0	0	0	0	6	0	0	6	3	6	0	6	0	0	0	0	0	0	6	6	0	0	6	0	0	0	3	6	6	6	3	0	0	3	0	0	6	0	0	0	6	6	0	0	6	0	0	0	0	6	6	0	0	0	6	0	0	0	0	0	6	0	0	6	0	6	0	6	0	6	0	6	0	0	0	0	0	6	0	0	0	3	6	6	0	0	0	0	3	6	0	6	6	3	0	0	6	0	0	0	0	6	0	6	0	0	6	0	6	6	0	6	0	0	6	0	0	0	0	0	0	6	6	6	0	0	0	0	0	6	0	0	0	6	0	6	0	6	6	6	6	0	6	0	6	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.8.1	C080801	"8.8.1 Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status"	"Tier II
"	0	0	10	0	0	0	56	34	99	76	0	18	0	6	0	34	0	0	0	0	8	12	0	0	42	36	0	102	0	0	0	0	0	18	0	15	0	10	0	0	0	34	105	18	72	84	0	24	0	6	0	24	0	0	0	102	0	78	43	0	0	0	0	2	0	0	17	0	0	0	0	0	0	86	0	0	0	0	0	32	52	20	0	0	0	72	12	0	0	17	0	38	0	0	0	18	0	0	0	71	0	0	0	30	0	0	80	0	15	96	0	2	48	0	0	0	0	4	0	0	16	0	3	36	0	0	45	0	0	0	0	21	0	0	0	14	31	54	0	0	36	38	78	0	0	0	54	14	0	0	0	0	0	0	27	96	0	39	0	0	39	114	0	0	0	0	102	22	0	0	30	10	0	14	0	10	162	0	0	0	42	0	18	70	0	28	2	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	8	8.a.1	C080a01	8.a.1 Aid for Trade commitments and disbursements	"Tier I
"	23	23	23	0	23	23	23	23	23	23	0	0	23	23	0	23	23	23	23	23	23	23	23	0	0	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	0	23	0	15	23	23	23	23	23	23	23	23	23	0	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	5	12	23	23	23	23	23	0	23	23	23	23	23	23	23	23	22	0	23	23	23	23	0	23	23	0	0	23	23	23	23	23	23	0	23	23	23	0	23	23	23	23	23	0	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	8	23	23	23	0	0	0	23	0	23	23	0	23	0	23	23	23	23	0	8	23	14	23	23	23	23	12	23	23	23	23	23	23	23	23	23	23	0	0	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.1.2	C090102	"9.1.2 Passenger and freight volumes, by mode of transport"	"Tier I
"	6	4	6	0	5	5	7	7	7	6	5	6	7	4	2	7	6	7	4	5	6	4	5	6	7	5	3	7	5	5	7	4	3	6	3	7	7	6	3	6	3	4	7	4	4	7	5	5	2	3	6	4	4	6	4	6	5	7	7	3	5	7	4	7	5	2	6	2	4	3	2	2	5	5	6	7	7	7	6	7	7	7	5	3	7	7	7	6	3	7	6	6	4	6	3	7	3	5	0	7	7	5	5	7	3	3	5	4	6	7	1	7	7	5	6	7	5	6	2	5	7	5	5	2	4	6	7	2	0	2	7	4	6	5	7	6	7	7	3	1	6	5	7	4	2	2	2	2	2	7	5	7	5	3	4	5	7	6	2	7	5	7	0	6	5	3	5	7	4	7	7	5	2	5	6	7	7	6	2	5	7	4	7	7	6	7	5	3	7	5	5	4	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.2.1	C090201	9.2.1 Manufacturing value added as a proportion of GDP and per capita	"Tier I
"	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	0	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	0	36	36	36	36	36	36	36	36	0	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	0	20	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.2.2	C090202	9.2.2 Manufacturing employment as a proportion of total employment	"Tier I
"	2	9	4	0	2	0	12	15	18	18	10	2	8	9	17	18	10	17	1	6	16	3	0	2	18	1	1	2	6	2	18	0	0	13	0	18	0	18	1	1	1	17	17	15	18	18	2	18	1	17	18	17	0	2	0	18	4	18	18	0	0	8	1	18	4	3	18	0	12	1	2	1	16	18	18	4	18	9	0	18	16	18	3	18	16	14	2	0	0	18	3	12	1	0	1	18	1	0	0	18	18	4	0	17	3	4	18	0	13	18	0	11	17	9	9	2	3	8	0	1	18	1	18	10	1	1	18	0	0	3	16	16	2	18	18	17	18	18	0	2	11	18	17	3	0	6	0	0	4	11	3	14	5	1	16	18	16	18	0	18	2	18	0	0	3	1	18	18	5	2	15	1	1	16	3	11	12	0	0	5	8	13	17	18	3	18	2	14	0	14	5	2	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.3.1	C090301	9.3.1 Proportion of small-scale industries in total industry value added	"Tier II
"	0	5	0	0	0	0	0	0	16	16	0	0	1	0	0	14	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	3	0	0	0	16	0	0	0	0	8	0	16	16	0	16	0	0	15	0	0	0	0	16	0	16	15	0	0	2	0	16	0	0	13	0	0	0	0	0	0	16	0	5	5	0	0	16	11	16	0	0	14	0	0	0	0	8	13	0	0	0	0	16	0	0	0	16	3	0	0	7	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	15	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	15	0	0	0	16	0	0	0	0	15	7	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	16	0	1	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.3.2	C090302	9.3.2 Proportion of small-scale industries with a loan or line of credit	"Tier II
"	1	2	0	0	2	1	2	2	0	0	1	0	1	2	1	0	2	3	2	2	1	1	1	0	3	2	2	2	2	2	0	1	1	1	1	2	1	2	0	0	3	1	2	0	0	2	2	0	1	2	3	3	0	0	1	2	1	0	0	1	0	2	1	0	2	0	0	1	2	2	1	0	3	2	0	1	2	0	1	0	1	0	2	1	0	2	1	2	0	0	0	2	3	1	2	2	2	0	0	2	0	2	2	1	0	3	0	2	1	2	0	2	2	2	1	1	0	2	0	2	0	1	0	3	2	2	0	1	0	0	2	2	1	3	2	2	2	0	1	2	0	2	2	2	1	1	1	0	0	0	2	2	0	2	0	2	2	2	0	1	2	0	1	0	1	2	1	0	0	2	1	2	1	1	0	1	2	0	0	2	2	2	2	0	2	0	1	3	2	2	1	2	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.4.1	C090401	9.4.1 CO2 emission per unit of value added	"Tier I
"	0	48	48	0	48	0	48	48	48	48	0	48	48	48	0	48	0	48	48	48	48	0	0	48	48	48	0	48	48	48	48	0	0	48	0	48	48	48	0	48	48	48	48	48	48	48	48	48	0	48	48	48	0	48	48	48	0	48	48	0	48	48	0	48	48	0	48	0	48	0	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	0	48	0	48	0	48	0	48	48	0	0	48	0	0	48	0	48	48	0	48	48	38	48	48	48	48	0	48	48	0	48	48	48	48	48	0	0	0	48	48	0	48	48	48	48	48	0	0	48	48	48	0	0	0	0	0	0	48	48	48	0	0	48	48	48	48	0	48	48	48	20	40	48	0	48	48	48	48	48	48	0	48	48	48	48	48	0	0	48	48	48	48	48	48	0	48	48	48	0	48	48
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.5.1	C090501	9.5.1 Research and development expenditure as a proportion of GDP	"Tier I
"	0	2	5	0	0	0	17	16	8	17	0	1	0	17	0	16	0	4	12	3	16	0	0	3	16	3	5	17	2	0	15	1	0	7	1	9	16	17	0	0	7	12	16	17	16	16	0	15	0	0	12	9	0	4	0	16	0	16	16	0	3	10	3	16	2	0	14	0	11	0	0	0	6	16	13	13	4	11	8	15	16	16	0	2	16	17	3	2	0	16	14	17	1	0	6	16	0	0	0	16	14	14	0	11	0	3	14	0	7	16	2	17	14	9	5	5	5	2	0	3	16	0	7	6	0	1	15	0	0	0	9	14	0	10	10	7	16	16	0	0	2	16	16	0	0	0	2	0	0	11	2	17	5	0	15	16	4	16	0	12	0	16	0	6	0	1	14	4	0	16	14	3	0	16	4	14	15	0	0	10	17	16	14	16	3	16	9	12	17	11	0	0	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.5.2	C090502	9.5.2 Researchers (in full-time equivalent) per million inhabitants	"Tier I
"	0	1	1	0	1	0	0	16	6	13	0	1	0	0	0	16	0	5	10	2	15	0	0	3	16	2	0	0	2	0	14	3	0	7	1	9	16	16	0	1	1	10	16	0	16	16	0	15	0	0	12	1	0	4	0	16	0	16	15	0	0	4	3	16	2	0	10	0	11	0	0	0	1	16	10	4	3	6	8	16	2	16	1	0	16	8	2	2	0	16	13	0	1	0	6	16	0	0	0	16	14	13	2	11	0	3	14	0	1	14	0	0	14	4	8	5	5	1	0	1	16	0	7	0	5	1	14	0	0	0	6	13	0	10	0	7	16	16	0	0	2	16	16	2	0	0	0	0	0	0	4	10	1	0	15	16	3	16	0	12	1	16	0	0	0	1	14	4	0	0	9	9	0	0	2	9	15	0	0	2	11	16	10	16	2	15	1	11	17	16	0	0	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.a.1	C090a01	9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure	"Tier I
"	17	17	17	0	17	13	17	17	0	0	0	5	17	17	6	0	17	17	17	17	17	17	17	0	0	17	17	12	17	17	0	17	17	17	17	17	17	17	17	17	17	17	11	17	0	0	17	0	16	17	17	17	16	17	17	0	17	0	0	17	17	17	17	0	17	17	0	16	17	17	17	17	17	0	0	17	17	17	14	0	0	0	17	17	0	17	17	17	17	0	0	17	17	17	17	0	16	11	0	0	0	17	17	17	17	17	1	17	17	17	0	17	17	14	17	17	11	17	14	17	0	17	0	17	17	17	0	17	16	17	17	17	17	17	17	17	0	0	17	17	0	0	0	17	13	16	15	0	17	7	17	17	17	17	0	0	17	3	16	17	17	0	6	17	17	17	0	0	17	17	17	17	17	10	0	17	17	17	15	17	12	17	17	0	17	0	17	17	17	17	17	17	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.b.1	C090b01	9.b.1 Proportion of medium and high-tech industry value added in total value added	"Tier I
"	16	16	16	0	16	0	16	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	0	16	0	16	16	0	16	16	0	16	0	0	16	16	0	16	16	16	16	16	16	0	16	16	16	16	16	0	16	0	16	0	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	0	16	16	16	0	16	0	16	0	0	0	16	16	16	16	16	16	0	16	0	16	16	0	16	16	16	16	16	16	16	0	16	16	0	16	0	16	16	16	0	0	0	16	16	16	16	16	16	16	16	0	0	16	16	16	16	0	16	0	0	0	16	16	16	0	0	16	16	16	16	0	16	0	16	0	0	16	16	16	16	16	16	16	0	16	16	16	16	16	0	0	16	16	16	16	16	16	16	0	16	0	16	0	16	16
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	9	9.c.1	C090c01	"9.c.1 Proportion of population covered by a mobile network, by technology"	"Tier I
"	20	29	22	30	19	31	35	14	36	36	20	35	26	31	25	37	23	25	35	24	30	3	7	8	36	12	14	33	26	17	33	21	19	25	17	24	20	20	1	14	31	17	35	26	35	36	32	18	13	16	34	16	0	19	24	35	19	28	31	25	18	19	17	32	26	7	36	9	20	12	23	9	12	34	36	19	15	29	10	32	28	36	30	15	29	18	33	21	10	37	21	26	29	24	20	22	15	8	24	35	27	17	25	29	33	11	22	11	25	22	28	30	30	20	35	9	34	29	14	15	30	26	33	11	16	21	21	0	2	14	20	25	8	11	25	32	34	35	10	17	37	35	11	24	8	17	28	7	18	32	19	29	26	7	37	37	10	37	16	25	28	36	10	30	16	25	33	37	32	9	17	26	14	20	33	31	25	11	4	29	32	18	30	36	31	33	18	22	19	10	7	14	33
